ETS-ID,City,Name,Net electrical power [MW_el],Heat power [MW_th],CHP,Fuel,Thermal fuel emission factor [t/MWh_th],Emission factor avg. w.o. Heat Seperation [t/MWh_el],Generation elec. avg. [MWh_el],Generation elec. min [MWh_el],Generation elec. max [MWh_el],Emissions avg. [t],Emissions min. [t],Emissions max. [t]
1376,Schkopau,Schkopau,900,200.000,True,lignite,0.372,1.293,3561273.857,2083361.000,4905241.000,4604850.714,2970535.000,6058441.000
1205,Gelsenkirchen,Scholven,690,0.000,True,hard coal,0.337,1.460,2597397.000,1899524.000,3224370.000,3791367.429,3090611.000,4300742.000
1459,Spremberg,Schwarze Pumpe,1510,120.000,True,lignite,0.398,1.134,9843100.429,8094773.000,11031624.000,11161289.429,9570636.000,12374048.000
1876,Grosskotzenburg,Staudinger,1132,300.000,True,hard coal,0.337,0.879,1800507.143,1036335.000,2800953.000,1583217.857,924225.000,2427352.000
951,Hamburg,Tiefstack,316,955.000,True,mixed,,1.193,982674.143,791077.000,1306818.000,1172179.571,1069564.000,1296112.000
2195,Hamm,Trianel GKW Hamm-Uentrop,850,0.000,False,NG,0.201,0.377,1469717.000,884834.000,2455782.000,553475.857,331652.000,895498.000
4166,Luenen,Trianel KKW Luenen,746,35.000,True,hard coal,0.337,0.815,3415967.714,1637333.000,4018796.000,2783840.714,1329736.000,3428828.000
889,Voelklingen-Fenne,Voelklingen-Fenne,211,185.000,True,hard coal,0.337,1.155,485614.890,297456.000,666026.231,561107.429,335026.000,870263.000
851,Voelklingen-Fenne,Voelklingen-Fenne,179,210.000,True,hard coal,0.337,1.113,326343.364,129314.000,513808.545,363374.571,158047.000,622224.000
952,Wedel,Wedel,250,423.000,True,hard coal,0.337,1.683,691451.286,0.000,1138731.000,1163475.429,1038938.000,1327551.000
845,Querschied,Weiher,656,30.000,True,hard coal,0.337,1.101,303097.434,17208.000,1188773.041,333618.000,24624.000,1355318.000
1607,Eschweiler-Weisweiler,Weisweiler,2363,184.000,True,mixed,,1.266,12262450.714,9742444.000,15226622.000,15523613.571,11473822.000,18945349.000
1474,Hamm-Uentrop,Westfalen,1014,0.000,False,hard coal,0.337,,2164610.286,0.000,3856196.000,,0.000,255272.000
963,Zolling,Zolling-Leininger,472,150.000,True,hard coal,0.337,0.868,1472320.571,931434.000,1892349.000,1278312.714,848136.000,1639527.000
1194,Berlin,Mitte,444,1210.000,True,NG,0.201,,,,,857432.857,627240.000,974109.000
